,Year,state_id,Production_Loss(ton),Area_Loss(km^2),State_Code,State_Name
0,2021,0,384869.31746540335,1617.6243653014335,AL,ALABAMA
1,2021,2,556.5898049490338,36.45010596137587,AZ,ARIZONA
2,2021,3,20683.563270649123,158.85306429810916,AR,ARKANSAS
3,2021,4,13285.378646452931,111.68446996633868,CA,CALIFORNIA
4,2021,5,146595.04160215773,1597.941665271872,CO,COLORADO
5,2021,6,5216.804787039617,83.3111936310375,CT,CONNECTICUT
6,2021,7,8620.994482915106,115.43838751964267,DE,DELAWARE
7,2021,8,0.0,0.0,DC,DISTRICT OF COLUMBIA
8,2021,9,264178.5615486359,684.4413318243812,FL,FLORIDA
9,2021,10,828073.6092797808,2146.2514856714206,GA,GEORGIA
10,2021,12,3568.459051971115,107.88523831002595,ID,IDAHO
11,2021,13,5949939.154156528,31607.76802105138,IL,ILLINOIS
12,2021,14,1632225.1482009075,19231.6931799105,IN,INDIANA
13,2021,15,26912813.463411063,56560.50205305248,IA,IOWA
14,2021,16,1571067.6616893392,5972.375858347121,KS,KANSAS
15,2021,17,959662.018382747,6611.849474729413,KY,KENTUCKY
16,2021,18,204123.4577903755,1299.9214067064288,LA,LOUISIANA
17,2021,19,4575.322065092823,89.43205242884858,ME,MAINE
18,2021,20,170835.74493877063,1565.1669195547886,MD,MARYLAND
19,2021,21,14056.792124662152,145.63797084987934,MA,MASSACHUSETTS
20,2021,22,680458.4864351677,6645.335452137841,MI,MICHIGAN
21,2021,23,15301444.036785183,32639.662851385743,MN,MINNESOTA
22,2021,24,396753.719737757,2344.3400255711376,MS,MISSISSIPPI
23,2021,25,1911463.698838143,10204.236095544968,MO,MISSOURI
24,2021,26,15285.689556976296,75.9281054569926,MT,MONTANA
25,2021,27,3969767.571055726,17183.99493569132,NE,NEBRASKA
26,2021,28,0.0,0.0,NV,NEVADA
27,2021,29,851.727212265873,16.751778084997145,NH,NEW HAMPSHIRE
28,2021,30,22498.66053896404,381.9339905804042,NJ,NEW JERSEY
29,2021,31,6229.93909760195,94.30727661294765,NM,NEW MEXICO
30,2021,32,322549.3693665388,3568.1699986227877,NY,NEW YORK
31,2021,33,215668.75892646392,1981.733464896173,NC,NORTH CAROLINA
32,2021,34,1390435.478934463,4381.894563522796,ND,NORTH DAKOTA
33,2021,35,1042466.688975245,11736.182255774796,OH,OHIO
