Year,state_id,Production(BU),Plant_Area(km^2),Harvest_Area(km^2),State_Code,State_Name
1981,36,5901107.861,1981.633528,1737.562765,OK,OKLAHOMA
1981,37,0,0,0,OR,OREGON
1981,38,20577674.84,3067.431222,3067.431222,PA,PENNSYLVANIA
1981,39,0,0,0,RI,RHODE ISLAND
1981,40,22344796.06,2737.057049,2737.057049,SC,SOUTH CAROLINA
1981,41,9846699.275,27744.88846,14139.91967,SD,SOUTH DAKOTA
1981,42,37345987.19,5831.247474,5508.940192,TN,TENNESSEE
1981,43,3441079.03,1918.747544,1545.037992,TX,TEXAS
1981,44,0,0,0,UT,UTAH
1981,45,2334703.241,293.9966256,293.9966256,VT,VERMONT
1981,46,17595680.45,2695.7216,2695.7216,VA,VIRGINIA
1981,47,0,0,0,WA,WASHINGTON
1981,48,4671787.391,612.1392535,612.1392535,WV,WEST VIRGINIA
1981,49,43007745.89,8112.939382,8112.939382,WI,WISCONSIN
1981,50,0,0,0,WY,WYOMING
1982,0,19194200.34,2086.335018,2081.910421,AL,ALABAMA
1982,2,0,0,0,AZ,ARIZONA
1982,3,5937629.151,3248.767221,2862.998243,AR,ARKANSAS
1982,4,0,0,0,CA,CALIFORNIA
1982,5,116766.7346,312.5630981,225.8879471,CO,COLORADO
1982,6,96868.4444,23.75736572,23.75736572,CT,CONNECTICUT
1982,7,4618881,785.336556,785.336556,DE,DELAWARE
1982,8,5153.257404,0.746815096,0.746815096,DC,DISTRICT OF COLUMBIA
1982,9,952580.5205,132.2655737,130.6013927,FL,FLORIDA
1982,10,13669795.27,1680.233224,1679.3343,GA,GEORGIA
1982,12,0,0,0,ID,IDAHO
1982,13,117462703,47279.42165,36837.32102,IL,ILLINOIS
1982,14,72627741.55,27466.35704,25951.51856,IN,INDIANA
1982,15,458963008.7,53844.24799,53844.24799,IA,IOWA
1982,16,44437812.11,16285.74356,14212.41429,KS,KANSAS
1982,17,46142924.7,8607.456418,8607.456418,KY,KENTUCKY
1982,18,19628984.12,5048.310119,4987.388742,LA,LOUISIANA
1982,19,365216.4316,91.15143203,91.15143203,ME,MAINE
1982,20,14767881.82,2419.675992,2419.675992,MD,MARYLAND
1982,21,674001.7322,133.1986347,133.1986347,MA,MASSACHUSETTS
1982,22,18987717.08,10369.38897,10069.36565,MI,MICHIGAN
1982,23,162680717.9,36477.10165,36410.07531,MN,MINNESOTA
1982,24,35180301.31,5795.205694,5752.866012,MS,MISSISSIPPI
1982,25,144580401.3,28356.05468,28284.21165,MO,MISSOURI
1982,26,0,0,0,MT,MONTANA
1982,27,93282771.1,14395.99749,14316.92613,NE,NEBRASKA
1982,28,0,0,0,NV,NEVADA
1982,29,273161.2371,64.53925323,64.53925323,NH,NEW HAMPSHIRE
1982,30,4032649.527,808.0465492,808.0465492,NJ,NEW JERSEY
1982,31,5769.275462,51.92247338,22.49909717,NM,NEW MEXICO
1982,32,10854059.45,2191.126282,2189.64307,NY,NEW YORK
1982,33,58420429.55,6055.182317,6051.807381,NC,NORTH CAROLINA
1982,34,9006542.838,11558.71237,11091.79093,ND,NORTH DAKOTA
1982,35,117282146.8,23058.10451,23058.10451,OH,OHIO
1982,36,3348708.844,2525.854409,1607.409508,OK,OKLAHOMA
1982,37,0,0,0,OR,OREGON
1982,38,22245727.99,3465.44763,3465.44763,PA,PENNSYLVANIA
1982,39,0,0,0,RI,RHODE ISLAND
1982,40,25727885.49,3067.221105,3066.358519,SC,SOUTH CAROLINA
1982,41,66509445.05,28723.83062,28718.61679,SD,SOUTH DAKOTA
1982,42,28783231.02,6549.8408,6333.870526,TN,TENNESSEE
1982,43,669475.7808,2483.788089,977.693009,TX,TEXAS
1982,44,0,0,0,UT,UTAH
1982,45,1046480.277,281.7453626,281.7453626,VT,VERMONT
1982,46,28787393.45,3136.503158,3136.503158,VA,VIRGINIA
1982,47,0,0,0,WA,WASHINGTON
1982,48,5564796.388,620.3777304,620.3777304,WV,WEST VIRGINIA
1982,49,94979362.23,10000.78351,10000.78351,WI,WISCONSIN
1982,50,0,0,0,WY,WYOMING
1983,0,13086811.57,1449.210966,1449.210966,AL,ALABAMA
1983,2,0,0,0,AZ,ARIZONA
1983,3,5027654.993,2738.499844,2130.657691,AR,ARKANSAS
1983,4,0,0,0,CA,CALIFORNIA
1983,5,8860.747072,361.4675861,39.32391745,CO,COLORADO
1983,6,118883.0295,75.96670172,23.25557769,CT,CONNECTICUT
1983,7,5479226.676,779.283503,779.283503,DE,DELAWARE
1983,8,4567.241019,0.727500912,0.727500912,DC,DISTRICT OF COLUMBIA
1983,9,559497.5949,80.09028965,79.9945473,FL,FLORIDA
1983,10,6240313.08,1183.443045,1183.443045,GA,GEORGIA
1983,12,0,0,0,ID,IDAHO
1983,13,63173760.09,47037.50881,38422.19263,IL,ILLINOIS
1983,14,52682338.4,27109.78289,26101.97898,IN,INDIANA
1983,15,111885068.9,52189.98973,51323.81487,IA,IOWA
1983,16,26602500.96,14297.255,8934.326328,KS,KANSAS
1983,17,67121710.16,7439.531866,7439.531866,KY,KENTUCKY
