Year,state_id,Production(BU),Plant_Area(km^2),Harvest_Area(km^2),State_Code,State_Name
1981,0,9187066.85997954,681.1971275634952,681.1971275634952,AL,ALABAMA
1981,2,13004.664182015953,115.007545342037,49.13275104447852,AZ,ARIZONA
1981,3,47825590.1666019,3258.2365545667553,3258.2365545667553,AR,ARKANSAS
1981,4,48859.78747123722,450.9927885384365,123.07450276554786,CA,CALIFORNIA
1981,5,8494328.614843532,16090.738564046032,5322.644980682993,CO,COLORADO
1981,6,0.0,0.0,0.0,CT,CONNECTICUT
1981,7,1902844.1119621985,279.52497570128173,279.52497570128173,DE,DELAWARE
1981,8,37178.00490162932,4.611803829403076,4.611803829403076,DC,DISTRICT OF COLUMBIA
1981,9,341710.88322271017,44.757068248557474,44.757068248557474,FL,FLORIDA
1981,10,32860594.787600026,2554.6474000100116,2554.6474000100116,GA,GEORGIA
1981,12,21280664.33023982,4672.658394835992,2263.5337191545223,ID,IDAHO
1981,13,71775851.914137,4040.274891724696,4032.4221228269216,IL,ILLINOIS
1981,14,35231223.096185885,2328.6957106607906,2328.6957106607906,IN,INDIANA
1981,15,390915.45661179133,56.69970964259095,56.69970964259095,IA,IOWA
1981,16,270231101.0169966,56190.5998406741,45498.1258091761,KS,KANSAS
1981,17,25409207.93567993,1891.791411697327,1891.791411697327,KY,KENTUCKY
1981,18,7700096.77816795,646.1637409705161,646.1637409705161,LA,LOUISIANA
1981,19,125412.67273252572,9.745835177309198,9.745835177309198,ME,MAINE
1981,20,6619000.709531974,784.5374776524714,784.5374776524714,MD,MARYLAND
1981,21,317426.35963831434,49.72511009381128,49.72511009381128,MA,MASSACHUSETTS
1981,22,34498546.92159172,2629.202656557218,2629.202656557218,MI,MICHIGAN
1981,23,37661930.353659354,14235.34912609146,10149.498976567025,MN,MINNESOTA
1981,24,19460678.254583534,1655.0556612504174,1655.0556612504174,MS,MISSISSIPPI
1981,25,111643800.33754003,7213.598739347692,7213.598739347692,MO,MISSOURI
1981,26,26737230.127499096,35990.85080600112,8689.696725201604,MT,MONTANA
1981,27,19563930.591678318,11403.587685343282,9149.96899171627,NE,NEBRASKA
1981,28,0.0,232.041506812997,0.0,NV,NEVADA
1981,29,0.0,0.0,0.0,NH,NEW HAMPSHIRE
1981,30,1761550.3858442265,185.90564124811272,185.90564124811272,NJ,NEW JERSEY
1981,31,367013.02096887416,857.4842288210737,523.4167112248663,NM,NEW MEXICO
1981,32,10801666.43251744,1071.8933923479449,1071.8933923479449,NY,NEW YORK
1981,33,35855570.97778007,2401.319194964804,2401.319194964804,NC,NORTH CAROLINA
1981,34,44727677.53736487,67739.16817405654,23688.681468341383,ND,NORTH DAKOTA
1981,35,67784924.90370832,4626.379794868344,4626.379794868344,OH,OHIO
1981,36,265643311.66363677,29314.092107980396,29240.11521969048,OK,OKLAHOMA
1981,37,19380352.999515202,6455.675155835307,2789.292721853001,OR,OREGON
1981,38,11147040.036566386,1152.1965614616083,1152.1965614616083,PA,PENNSYLVANIA
1981,39,0.0,0.0,0.0,RI,RHODE ISLAND
1981,40,25333891.502183087,1885.7797686892934,1885.7797686892934,SC,SOUTH CAROLINA
1981,41,17268222.355193038,15400.03330016858,7021.413327325791,SD,SOUTH DAKOTA
1981,42,41344475.636047035,3335.8952113663227,3335.8952113663227,TN,TENNESSEE
1981,43,169768545.7622181,19774.203317605752,19059.087968272113,TX,TEXAS
1981,44,342439.6161237,811.8027585843552,114.53600287612048,UT,UTAH
1981,45,8682975.373739755,886.1797929388371,886.1797929388371,VT,VERMONT
1981,46,20103619.801907033,1887.1358634224216,1887.1358634224216,VA,VIRGINIA
1981,47,34087879.53405629,14078.11802746557,5935.858432845602,WA,WASHINGTON
1981,48,11655365.69435601,1287.7345344381413,1287.7345344381413,WV,WEST VIRGINIA
1981,49,8567550.220757188,899.4353340095421,869.2110168623902,WI,WISCONSIN
1981,50,940911.2590824673,1561.1164172006615,870.9398239025727,WY,WYOMING
1982,0,9596864.962333377,851.8641494386343,851.8641494386343,AL,ALABAMA
1982,2,16234.711885960678,220.02243367903594,86.56472256444368,AZ,ARIZONA
1982,3,40721892.32037458,3272.0354626701856,3272.0354626701856,AR,ARKANSAS
1982,4,113023.00918839825,474.7059647330454,154.28289903680516,CA,CALIFORNIA
1982,5,28673155.739160586,15838.497307074198,9590.922052286376,CO,COLORADO
1982,6,0.0,0.0,0.0,CT,CONNECTICUT
1982,7,3285800.2343105758,276.42181114058934,276.42181114058934,DE,DELAWARE
1982,8,62058.176064023435,4.48298249338623,4.48298249338623,DC,DISTRICT OF COLUMBIA
1982,9,529339.6679598843,50.46646524055816,50.46646524055816,FL,FLORIDA
1982,10,34592982.35522519,2833.9986827642006,2833.9986827642006,GA,GEORGIA
1982,12,15516249.24027061,4606.75684141133,2604.8570058667856,ID,IDAHO
1982,13,75230874.01536141,4033.9350147952714,4033.9350147952714,IL,ILLINOIS
1982,14,43265646.11867489,2318.317900186914,2318.317900186914,IN,INDIANA
1982,15,1005873.0784774267,56.68283541384445,56.68283541384445,IA,IOWA
1982,16,739798252.8951969,55881.535236027004,55208.36647206974,KS,KANSAS
1982,17,25357506.38481866,1885.9012126118075,1885.9012126118075,KY,KENTUCKY
1982,18,6262953.8910138635,677.4271618438497,677.034997420234,LA,LOUISIANA
1982,19,95574.9211506771,9.573493432413397,9.573493432413397,ME,MAINE
1982,20,10758116.175046809,781.6156592131572,781.6156592131572,MD,MARYLAND
1982,21,465731.3063367451,48.9497413254517,48.9497413254517,MA,MASSACHUSETTS
