region_id,region_name,crop,scenario,year,area_in_drought(% of planted)
1,Northeast,corn,hist,1981,2.541017954
1,Northeast,corn,hist,1982,2.189649708
1,Northeast,corn,hist,1983,1.86376829
1,Northeast,corn,hist,1984,0.380314881
1,Northeast,corn,hist,1985,4.44596275
1,Northeast,corn,hist,1986,3.518775421
1,Northeast,corn,hist,1987,2.419389573
1,Northeast,corn,hist,1988,3.645801634
1,Northeast,corn,hist,1989,0.322936629
1,Northeast,corn,hist,1990,1.180827993
1,Northeast,corn,hist,1991,4.522679234
1,Northeast,corn,hist,1992,1.756531794
1,Northeast,corn,hist,1993,3.050927823
1,Northeast,corn,hist,1994,1.769265817
1,Northeast,corn,hist,1995,3.561366874
1,Northeast,corn,hist,1996,0.161623123
1,Northeast,corn,hist,1997,3.260187755
1,Northeast,corn,hist,1998,1.895641205
1,Northeast,corn,hist,1999,5.01333696
1,Northeast,corn,hist,2000,0.481244958
1,Northeast,corn,hist,2001,4.521120886
1,Northeast,corn,hist,2002,4.734595772
1,Northeast,corn,hist,2003,0.322286313
1,Northeast,corn,hist,2004,0.866549088
1,Northeast,corn,hist,2005,3.228994297
1,Northeast,corn,hist,2006,2.953520345
1,Northeast,corn,hist,2007,4.333002287
1,Northeast,corn,hist,2008,2.954532537
1,Northeast,corn,hist,2009,1.029988194
1,Northeast,corn,hist,2010,4.871302643
1,Northeast,corn,hist,2011,0.729877205
1,Northeast,corn,hist,2012,5.102561384
1,Northeast,corn,hist,2013,1.001125683
1,Northeast,corn,hist,2014,0.65814505
1,Northeast,corn,hist,2015,2.900520388
2,Southeast,corn,hist,1981,6.951955033
2,Southeast,corn,hist,1982,3.656822211
2,Southeast,corn,hist,1983,0.659651533
2,Southeast,corn,hist,1984,1.471999065
2,Southeast,corn,hist,1985,5.813256782
2,Southeast,corn,hist,1986,7.5200976
2,Southeast,corn,hist,1987,3.888903366
2,Southeast,corn,hist,1988,6.603263418
2,Southeast,corn,hist,1989,1.438651414
2,Southeast,corn,hist,1990,4.176355065
2,Southeast,corn,hist,1991,1.022191939
2,Southeast,corn,hist,1992,4.055911868
2,Southeast,corn,hist,1993,3.034461345
2,Southeast,corn,hist,1994,2.262357298
2,Southeast,corn,hist,1995,3.963343216
2,Southeast,corn,hist,1996,3.622756972
2,Southeast,corn,hist,1997,1.922690552
2,Southeast,corn,hist,1998,2.337057815
2,Southeast,corn,hist,1999,6.187326115
2,Southeast,corn,hist,2000,6.639905737
2,Southeast,corn,hist,2001,6.623017294
2,Southeast,corn,hist,2002,6.216166807
2,Southeast,corn,hist,2003,1.25954598
2,Southeast,corn,hist,2004,3.803816266
2,Southeast,corn,hist,2005,2.847130882
2,Southeast,corn,hist,2006,8.035153541
2,Southeast,corn,hist,2007,8.380957472
2,Southeast,corn,hist,2008,7.243344834
2,Southeast,corn,hist,2009,2.109017574
2,Southeast,corn,hist,2010,5.158658425
2,Southeast,corn,hist,2011,7.6358765
2,Southeast,corn,hist,2012,7.126266193
2,Southeast,corn,hist,2013,2.258343782
2,Southeast,corn,hist,2014,1.246649032
2,Southeast,corn,hist,2015,2.815326539
4,Midwest,corn,hist,1981,53.87930734
4,Midwest,corn,hist,1982,23.73658262
4,Midwest,corn,hist,1983,27.25406424
4,Midwest,corn,hist,1984,25.97232745
4,Midwest,corn,hist,1985,36.21336711
4,Midwest,corn,hist,1986,14.53630158
4,Midwest,corn,hist,1987,61.20190326
4,Midwest,corn,hist,1988,66.31969715
4,Midwest,corn,hist,1989,49.71472327
4,Midwest,corn,hist,1990,26.43944573
4,Midwest,corn,hist,1991,43.5810302
4,Midwest,corn,hist,1992,45.5078091
4,Midwest,corn,hist,1993,3.660475775
4,Midwest,corn,hist,1994,14.23407123
4,Midwest,corn,hist,1995,5.263253337
4,Midwest,corn,hist,1996,24.16388823
4,Midwest,corn,hist,1997,26.48013895
4,Midwest,corn,hist,1998,27.1532432
4,Midwest,corn,hist,1999,19.45022352
4,Midwest,corn,hist,2000,59.74257313
4,Midwest,corn,hist,2001,46.67578109
4,Midwest,corn,hist,2002,50.77048822
4,Midwest,corn,hist,2003,53.51316757
4,Midwest,corn,hist,2004,46.01590024
4,Midwest,corn,hist,2005,59.89959781
4,Midwest,corn,hist,2006,60.00679006
4,Midwest,corn,hist,2007,55.2999684
4,Midwest,corn,hist,2008,9.060207294
4,Midwest,corn,hist,2009,14.76499773
4,Midwest,corn,hist,2010,15.50235853
4,Midwest,corn,hist,2011,21.94617139
4,Midwest,corn,hist,2012,60.47873663
4,Midwest,corn,hist,2013,21.86058524
4,Midwest,corn,hist,2014,14.63686469
4,Midwest,corn,hist,2015,31.20912668
5,N. Great Plains,corn,hist,1981,11.55752747
5,N. Great Plains,corn,hist,1982,1.423972489
5,N. Great Plains,corn,hist,1983,1.71021534
5,N. Great Plains,corn,hist,1984,1.479035577
5,N. Great Plains,corn,hist,1985,4.681467441
5,N. Great Plains,corn,hist,1986,0.576507127
5,N. Great Plains,corn,hist,1987,7.222296685
5,N. Great Plains,corn,hist,1988,9.054183297
5,N. Great Plains,corn,hist,1989,12.62338859
5,N. Great Plains,corn,hist,1990,9.600260178
5,N. Great Plains,corn,hist,1991,5.446215906
5,N. Great Plains,corn,hist,1992,7.768177604
5,N. Great Plains,corn,hist,1993,0.306488097
5,N. Great Plains,corn,hist,1994,7.215846103
5,N. Great Plains,corn,hist,1995,0.123654266
5,N. Great Plains,corn,hist,1996,4.05296471
5,N. Great Plains,corn,hist,1997,3.568037391
5,N. Great Plains,corn,hist,1998,4.162559881
5,N. Great Plains,corn,hist,1999,0.458884703
5,N. Great Plains,corn,hist,2000,12.04491687
5,N. Great Plains,corn,hist,2001,4.043063042
5,N. Great Plains,corn,hist,2002,12.25551685
5,N. Great Plains,corn,hist,2003,11.57702772
5,N. Great Plains,corn,hist,2004,11.59946087
5,N. Great Plains,corn,hist,2005,10.36017433
5,N. Great Plains,corn,hist,2006,11.83724344
5,N. Great Plains,corn,hist,2007,3.072024808
5,N. Great Plains,corn,hist,2008,2.780476518
5,N. Great Plains,corn,hist,2009,0.976647317
5,N. Great Plains,corn,hist,2010,0.294045622
5,N. Great Plains,corn,hist,2011,1.521533805
5,N. Great Plains,corn,hist,2012,11.60798302
5,N. Great Plains,corn,hist,2013,5.833664874
5,N. Great Plains,corn,hist,2014,4.483697794
5,N. Great Plains,corn,hist,2015,8.54312626
6,S. Great Plains,corn,hist,1981,3.215094407
6,S. Great Plains,corn,hist,1982,1.499146805
6,S. Great Plains,corn,hist,1983,3.157149199
6,S. Great Plains,corn,hist,1984,3.967132008
6,S. Great Plains,corn,hist,1985,1.646304212
6,S. Great Plains,corn,hist,1986,2.447952783
6,S. Great Plains,corn,hist,1987,0.765572032
6,S. Great Plains,corn,hist,1988,4.541878799
6,S. Great Plains,corn,hist,1989,4.615951173
6,S. Great Plains,corn,hist,1990,4.443295933
6,S. Great Plains,corn,hist,1991,4.773002123
6,S. Great Plains,corn,hist,1992,3.898145209
6,S. Great Plains,corn,hist,1993,1.023558465
6,S. Great Plains,corn,hist,1994,6.222755301
6,S. Great Plains,corn,hist,1995,1.946798804
6,S. Great Plains,corn,hist,1996,5.549314893
6,S. Great Plains,corn,hist,1997,3.477915768
6,S. Great Plains,corn,hist,1998,5.257930615
