ID,State,Commodity,Cause of Loss,Payment Indemnity,Payment Acreage,Year
21,Indiana,Soybeans,Drought,311849.6,7959.6741,1989
37,Oklahoma,Soybeans,Drought,63062.4,2483.40324,1989
46,Arkansas,Soybeans,Drought,887875.95,26392.5814,1989
38,North Carolina,Soybeans,Drought,59957.55,2425.7682,1989
5,South Dakota,Soybeans,Drought,4548760.9,134233.80042,1989
43,Mississippi,Soybeans,Drought,432825.85,12699.843,1989
26,Illinois,Soybeans,Drought,4607313.0,125795.82809,1989
15,Nebraska,Soybeans,Drought,8609465.55,228111.862865,1989
33,Kansas,Soybeans,Drought,6264137.1,131728.40975,1989
10,Minnesota,Soybeans,Drought,4180919.27,114793.45367,1989
28,Delaware,Soybeans,Drought,6418.0,82.6,1989
44,Georgia,Soybeans,Drought,1203841.25,33277.088,1989
7,Wisconsin,Soybeans,Drought,194082.15,5322.6132,1989
42,Alabama,Soybeans,Drought,552399.9,13421.365,1989
13,Iowa,Soybeans,Drought,12494036.8,352726.51282,1989
25,Ohio,Soybeans,Drought,679793.2,16670.63548,1989
49,Michigan,Soybeans,Drought,153255.94,3149.9235,1989
40,Texas,Soybeans,Drought,540081.95,14271.630205,1989
35,Missouri,Soybeans,Drought,8713480.72,229478.94967,1989
32,Kentucky,Soybeans,Drought,31585.0,1104.0408,1989
45,South Carolina,Soybeans,Drought,17869.6,636.46,1989
4,North Dakota,Soybeans,Drought,1490148.66,51595.76578,1989
39,Tennessee,Soybeans,Drought,323450.0,9991.3454,1989
48,Florida,Soybeans,Drought,119190.2,2988.64,1989
30,Maryland,Soybeans,Drought,3892.0,100.6,1989
47,Louisiana,Soybeans,Drought,2750231.35,55444.30915,1989
17,Pennsylvania,Soybeans,Drought,1199.0,40.0,1989
34,Virginia,Soybeans,Drought,870.0,37.5,1989
1,Washington,Soybeans,Drought,0.0,0.0,1989
2,Montana,Soybeans,Drought,0.0,0.0,1989
3,Maine,Soybeans,Drought,0.0,0.0,1989
6,Wyoming,Soybeans,Drought,0.0,0.0,1989
8,Idaho,Soybeans,Drought,0.0,0.0,1989
9,Vermont,Soybeans,Drought,0.0,0.0,1989
11,Oregon,Soybeans,Drought,0.0,0.0,1989
12,New Hampshire,Soybeans,Drought,0.0,0.0,1989
14,Massachusetts,Soybeans,Drought,0.0,0.0,1989
16,New York,Soybeans,Drought,0.0,0.0,1989
18,Connecticut,Soybeans,Drought,0.0,0.0,1989
19,Rhode Island,Soybeans,Drought,0.0,0.0,1989
20,New Jersey,Soybeans,Drought,0.0,0.0,1989
22,Nevada,Soybeans,Drought,0.0,0.0,1989
23,Utah,Soybeans,Drought,0.0,0.0,1989
24,California,Soybeans,Drought,0.0,0.0,1989
29,West Virginia,Soybeans,Drought,0.0,0.0,1989
31,Colorado,Soybeans,Drought,0.0,0.0,1989
36,Arizona,Soybeans,Drought,0.0,0.0,1989
41,New Mexico,Soybeans,Drought,0.0,0.0,1989
21,Indiana,Soybeans,Drought,55371.4,2592.31886,1990
37,Oklahoma,Soybeans,Drought,349283.61,11194.43062,1990
46,Arkansas,Soybeans,Drought,2423968.1,78129.21206,1990
38,North Carolina,Soybeans,Drought,707833.9,24251.809,1990
5,South Dakota,Soybeans,Drought,1306385.04,50969.85498,1990
43,Mississippi,Soybeans,Drought,6544056.87,231593.5144,1990
26,Illinois,Soybeans,Drought,824196.69,29105.2054,1990
15,Nebraska,Soybeans,Drought,763054.57,24424.361165,1990
33,Kansas,Soybeans,Drought,1797539.58,59137.208864,1990
10,Minnesota,Soybeans,Drought,927068.75,30096.3994,1990
28,Delaware,Soybeans,Drought,30287.4,1036.334,1990
44,Georgia,Soybeans,Drought,1684075.1,45495.13,1990
7,Wisconsin,Soybeans,Drought,4010.8,84.8,1990
42,Alabama,Soybeans,Drought,1937928.05,42935.4319,1990
13,Iowa,Soybeans,Drought,95967.9,2701.1163,1990
25,Ohio,Soybeans,Drought,50026.0,1813.545,1990
49,Michigan,Soybeans,Drought,6508.0,118.85,1990
40,Texas,Soybeans,Drought,850866.7,25635.4708,1990
35,Missouri,Soybeans,Drought,1139211.25,34030.98082,1990
32,Kentucky,Soybeans,Drought,291948.29,10362.8694,1990
45,South Carolina,Soybeans,Drought,108630.55,5346.14,1990
20,New Jersey,Soybeans,Drought,7903.9,225.67,1990
4,North Dakota,Soybeans,Drought,703678.77,24263.8353,1990
39,Tennessee,Soybeans,Drought,410591.4,13273.4733,1990
48,Florida,Soybeans,Drought,296436.8,7111.05,1990
30,Maryland,Soybeans,Drought,3195.0,80.044,1990
47,Louisiana,Soybeans,Drought,4939935.45,131299.35328,1990
17,Pennsylvania,Soybeans,Drought,1288.0,20.0,1990
34,Virginia,Soybeans,Drought,140105.45,4819.017,1990
1,Washington,Soybeans,Drought,0.0,0.0,1990
2,Montana,Soybeans,Drought,0.0,0.0,1990
3,Maine,Soybeans,Drought,0.0,0.0,1990
6,Wyoming,Soybeans,Drought,0.0,0.0,1990
8,Idaho,Soybeans,Drought,0.0,0.0,1990
9,Vermont,Soybeans,Drought,0.0,0.0,1990
11,Oregon,Soybeans,Drought,0.0,0.0,1990
12,New Hampshire,Soybeans,Drought,0.0,0.0,1990
14,Massachusetts,Soybeans,Drought,0.0,0.0,1990
16,New York,Soybeans,Drought,0.0,0.0,1990
18,Connecticut,Soybeans,Drought,0.0,0.0,1990
19,Rhode Island,Soybeans,Drought,0.0,0.0,1990
22,Nevada,Soybeans,Drought,0.0,0.0,1990
23,Utah,Soybeans,Drought,0.0,0.0,1990
24,California,Soybeans,Drought,0.0,0.0,1990
29,West Virginia,Soybeans,Drought,0.0,0.0,1990
31,Colorado,Soybeans,Drought,0.0,0.0,1990
36,Arizona,Soybeans,Drought,0.0,0.0,1990
41,New Mexico,Soybeans,Drought,0.0,0.0,1990
21,Indiana,Soybeans,Drought,3798978.95,95042.41611,1991
37,Oklahoma,Soybeans,Drought,154928.15,6153.2779,1991
46,Arkansas,Soybeans,Drought,1320171.84,42012.5476,1991
38,North Carolina,Soybeans,Drought,117205.8,4529.1894,1991
5,South Dakota,Soybeans,Drought,2866103.71,100991.9107,1991
43,Mississippi,Soybeans,Drought,1641791.3,61574.941,1991
26,Illinois,Soybeans,Drought,13690234.45,381319.09165,1991
