ID,State,Commodity,Cause of Loss,Payment Indemnity,Payment Acreage,Year
22,Nevada,Corn,Drought,0.0,0.0,1989
23,Utah,Corn,Drought,0.0,0.0,1989
24,California,Corn,Drought,0.0,0.0,1989
28,Delaware,Corn,Drought,0.0,0.0,1989
29,West Virginia,Corn,Drought,0.0,0.0,1989
36,Arizona,Corn,Drought,0.0,0.0,1989
41,New Mexico,Corn,Drought,0.0,0.0,1989
46,Arkansas,Corn,Drought,0.0,0.0,1989
21,Indiana,Corn,Drought,61062.65,1320.98481,1990
37,Oklahoma,Corn,Drought,53959.75,844.90634,1990
46,Arkansas,Corn,Drought,2357.2,71.6,1990
38,North Carolina,Corn,Drought,2954429.8,54842.21777,1990
5,South Dakota,Corn,Drought,4457723.01,147451.42391,1990
43,Mississippi,Corn,Drought,177948.3,4515.7515,1990
26,Illinois,Corn,Drought,1427415.65,30402.98338,1990
2,Montana,Corn,Drought,46538.65,1149.0772,1990
15,Nebraska,Corn,Drought,1497453.74,42916.80957,1990
33,Kansas,Corn,Drought,461561.15,11045.224023,1990
10,Minnesota,Corn,Drought,1824574.8,51993.6742,1990
28,Delaware,Corn,Drought,2877.0,33.5,1990
16,New York,Corn,Drought,748.0,15.4,1990
44,Georgia,Corn,Drought,1156153.35,24166.0369,1990
7,Wisconsin,Corn,Drought,103947.7,2623.18,1990
42,Alabama,Corn,Drought,289116.7,7616.81,1990
13,Iowa,Corn,Drought,218053.71,5596.1157,1990
25,Ohio,Corn,Drought,43406.0,666.75,1990
49,Michigan,Corn,Drought,16555.1,214.5438,1990
40,Texas,Corn,Drought,13000863.72,214809.358177,1990
31,Colorado,Corn,Drought,18412.0,869.3536,1990
35,Missouri,Corn,Drought,309526.23,7380.741,1990
32,Kentucky,Corn,Drought,1434462.4,29243.88878,1990
45,South Carolina,Corn,Drought,700965.75,12656.8203,1990
4,North Dakota,Corn,Drought,7004609.09,209495.82697,1990
39,Tennessee,Corn,Drought,312232.4,6695.65,1990
48,Florida,Corn,Drought,45024.4,1223.76,1990
