region_id,region_name,crop,scenario,year,drought_duration(% of growing season)
1,Northeast,corn,hist,1981,49.51789828
1,Northeast,corn,hist,1982,26.55188693
1,Northeast,corn,hist,1983,38.33607493
1,Northeast,corn,hist,1984,36.34770911
1,Northeast,corn,hist,1985,54.02451614
1,Northeast,corn,hist,1986,49.2622449
1,Northeast,corn,hist,1987,41.09883517
1,Northeast,corn,hist,1988,69.55547232
1,Northeast,corn,hist,1989,34.60374415
1,Northeast,corn,hist,1990,34.10880504
1,Northeast,corn,hist,1991,75.17890602
1,Northeast,corn,hist,1992,45.53377329
1,Northeast,corn,hist,1993,54.67619423
1,Northeast,corn,hist,1994,28.61758798
1,Northeast,corn,hist,1995,62.06184927
1,Northeast,corn,hist,1996,23.06568183
1,Northeast,corn,hist,1997,57.15985844
1,Northeast,corn,hist,1998,37.11762762
1,Northeast,corn,hist,1999,84.71051102
1,Northeast,corn,hist,2000,30.38494553
1,Northeast,corn,hist,2001,50.99338729
1,Northeast,corn,hist,2002,65.11998222
1,Northeast,corn,hist,2003,26.54781872
1,Northeast,corn,hist,2004,31.95548861
1,Northeast,corn,hist,2005,52.13400497
1,Northeast,corn,hist,2006,36.91821461
1,Northeast,corn,hist,2007,61.22165385
1,Northeast,corn,hist,2008,35.09320423
1,Northeast,corn,hist,2009,27.07878513
1,Northeast,corn,hist,2010,46.31410686
1,Northeast,corn,hist,2011,38.23309422
1,Northeast,corn,hist,2012,68.47124294
1,Northeast,corn,hist,2013,27.94780646
1,Northeast,corn,hist,2014,21.69934368
1,Northeast,corn,hist,2015,30.25314855
2,Southeast,corn,hist,1981,49.33039425
2,Southeast,corn,hist,1982,38.85997571
2,Southeast,corn,hist,1983,23.58309995
2,Southeast,corn,hist,1984,33.14562508
2,Southeast,corn,hist,1985,54.74955048
2,Southeast,corn,hist,1986,62.25446612
2,Southeast,corn,hist,1987,50.31674506
2,Southeast,corn,hist,1988,69.75031679
2,Southeast,corn,hist,1989,33.17774794
2,Southeast,corn,hist,1990,45.83085796
2,Southeast,corn,hist,1991,43.53935499
2,Southeast,corn,hist,1992,32.46492016
2,Southeast,corn,hist,1993,34.24736955
2,Southeast,corn,hist,1994,45.01387207
2,Southeast,corn,hist,1995,33.64100086
2,Southeast,corn,hist,1996,40.8599132
2,Southeast,corn,hist,1997,37.12861605
2,Southeast,corn,hist,1998,37.71326266
2,Southeast,corn,hist,1999,57.33041882
2,Southeast,corn,hist,2000,60.3245512
2,Southeast,corn,hist,2001,61.73936256
2,Southeast,corn,hist,2002,59.58433763
2,Southeast,corn,hist,2003,30.60657647
2,Southeast,corn,hist,2004,37.88709762
2,Southeast,corn,hist,2005,45.00994379
2,Southeast,corn,hist,2006,71.42840019
2,Southeast,corn,hist,2007,74.12715724
2,Southeast,corn,hist,2008,47.14809395
2,Southeast,corn,hist,2009,27.95665446
2,Southeast,corn,hist,2010,47.15621849
2,Southeast,corn,hist,2011,59.25508568
2,Southeast,corn,hist,2012,78.52336208
2,Southeast,corn,hist,2013,23.16790447
2,Southeast,corn,hist,2014,32.66819689
2,Southeast,corn,hist,2015,33.79608176
4,Midwest,corn,hist,1981,59.79796452
4,Midwest,corn,hist,1982,35.17595196
4,Midwest,corn,hist,1983,29.13607112
4,Midwest,corn,hist,1984,28.71895765
4,Midwest,corn,hist,1985,43.285633
4,Midwest,corn,hist,1986,36.37689923
4,Midwest,corn,hist,1987,61.46897106
4,Midwest,corn,hist,1988,92.37965664
4,Midwest,corn,hist,1989,64.92389445
4,Midwest,corn,hist,1990,22.59402097
4,Midwest,corn,hist,1991,46.83456067
4,Midwest,corn,hist,1992,40.59410011
4,Midwest,corn,hist,1993,42.29250974
4,Midwest,corn,hist,1994,39.73504206
4,Midwest,corn,hist,1995,26.35735062
4,Midwest,corn,hist,1996,27.30827126
4,Midwest,corn,hist,1997,27.22663367
4,Midwest,corn,hist,1998,32.06759648
4,Midwest,corn,hist,1999,49.74260053
4,Midwest,corn,hist,2000,61.7914236
4,Midwest,corn,hist,2001,47.42141895
4,Midwest,corn,hist,2002,50.00224846
4,Midwest,corn,hist,2003,56.80053994
4,Midwest,corn,hist,2004,47.69012803
4,Midwest,corn,hist,2005,69.73944349
4,Midwest,corn,hist,2006,69.54290858
4,Midwest,corn,hist,2007,59.91539847
4,Midwest,corn,hist,2008,25.71751532
4,Midwest,corn,hist,2009,28.76333594
4,Midwest,corn,hist,2010,31.54943393
4,Midwest,corn,hist,2011,31.21803845
4,Midwest,corn,hist,2012,90.77625904
4,Midwest,corn,hist,2013,28.96024854
4,Midwest,corn,hist,2014,34.21742318
4,Midwest,corn,hist,2015,26.0030904
5,N. Great Plains,corn,hist,1981,72.35724505
5,N. Great Plains,corn,hist,1982,34.13908835
5,N. Great Plains,corn,hist,1983,29.08537808
5,N. Great Plains,corn,hist,1984,29.85615156
5,N. Great Plains,corn,hist,1985,30.7392556
5,N. Great Plains,corn,hist,1986,24.74874326
5,N. Great Plains,corn,hist,1987,47.8377769
5,N. Great Plains,corn,hist,1988,77.12102237
5,N. Great Plains,corn,hist,1989,65.54598977
5,N. Great Plains,corn,hist,1990,37.23943508
5,N. Great Plains,corn,hist,1991,34.69043332
5,N. Great Plains,corn,hist,1992,27.69265715
5,N. Great Plains,corn,hist,1993,23.27545868
5,N. Great Plains,corn,hist,1994,34.70210756
5,N. Great Plains,corn,hist,1995,23.1961348
5,N. Great Plains,corn,hist,1996,28.76193913
5,N. Great Plains,corn,hist,1997,38.35424151
5,N. Great Plains,corn,hist,1998,37.72979625
5,N. Great Plains,corn,hist,1999,29.93684042
5,N. Great Plains,corn,hist,2000,85.61230579
5,N. Great Plains,corn,hist,2001,38.2699591
5,N. Great Plains,corn,hist,2002,78.91345257
5,N. Great Plains,corn,hist,2003,52.18089594
5,N. Great Plains,corn,hist,2004,70.64944296
5,N. Great Plains,corn,hist,2005,44.73183095
5,N. Great Plains,corn,hist,2006,71.4866368
5,N. Great Plains,corn,hist,2007,32.92491926
5,N. Great Plains,corn,hist,2008,33.11194311
5,N. Great Plains,corn,hist,2009,25.78910319
5,N. Great Plains,corn,hist,2010,26.60456798
5,N. Great Plains,corn,hist,2011,30.03017205
5,N. Great Plains,corn,hist,2012,82.80656507
5,N. Great Plains,corn,hist,2013,41.7181638
5,N. Great Plains,corn,hist,2014,45.00402142
5,N. Great Plains,corn,hist,2015,36.45727705
6,S. Great Plains,corn,hist,1981,27.67948036
6,S. Great Plains,corn,hist,1982,26.59398956
6,S. Great Plains,corn,hist,1983,35.10619926
6,S. Great Plains,corn,hist,1984,43.18011454
6,S. Great Plains,corn,hist,1985,27.28501193
6,S. Great Plains,corn,hist,1986,30.07323308
6,S. Great Plains,corn,hist,1987,31.84986497
6,S. Great Plains,corn,hist,1988,49.28200826
6,S. Great Plains,corn,hist,1989,41.68961361
6,S. Great Plains,corn,hist,1990,35.88925377
6,S. Great Plains,corn,hist,1991,46.2245227
6,S. Great Plains,corn,hist,1992,24.95938836
6,S. Great Plains,corn,hist,1993,38.33023712
6,S. Great Plains,corn,hist,1994,44.94150085
6,S. Great Plains,corn,hist,1995,33.78184515
6,S. Great Plains,corn,hist,1996,61.18155665
6,S. Great Plains,corn,hist,1997,43.11617544
6,S. Great Plains,corn,hist,1998,43.86172561
