Year,state_id,Production_Loss(ton),Area_Loss(km^2),State_Code,State_Name
1981,0,488912.8816,1446.162978,AL,ALABAMA
1981,2,3010.484167,89.15742919,AZ,ARIZONA
1981,3,27311.57328,265.8534644,AR,ARKANSAS
1981,4,3554.785527,48.60136069,CA,CALIFORNIA
1981,5,89507.6427,1610.443654,CO,COLORADO
1981,6,12934.23527,88.40183197,CT,CONNECTICUT
1981,7,56967.68624,373.3295117,DE,DELAWARE
1981,8,0,0,DC,DISTRICT OF COLUMBIA
1981,9,325006.6872,677.7129228,FL,FLORIDA
1981,10,809139.6437,1833.426645,GA,GEORGIA
1981,12,725.7797543,50.91206259,ID,IDAHO
1981,13,4218558.181,23011.83488,IL,ILLINOIS
1981,14,842743.1387,10905.22595,IN,INDIANA
1981,15,19861749.56,54903.17826,IA,IOWA
1981,16,934335.7964,4311.4247,KS,KANSAS
1981,17,789768.7767,5337.344265,KY,KENTUCKY
1981,18,319142.9615,1680.677747,LA,LOUISIANA
1981,19,126.6607927,1.918791185,ME,MAINE
1981,20,338138.6699,2045.068664,MD,MARYLAND
1981,21,4443.291386,78.06110346,MA,MASSACHUSETTS
1981,22,419101.1357,4010.603033,MI,MICHIGAN
1981,23,10688371.24,30397.66171,MN,MINNESOTA
1981,24,573121.3828,2137.848389,MS,MISSISSIPPI
1981,25,1716703.325,8890.236351,MO,MISSOURI
1981,26,10055.16789,74.35769275,MT,MONTANA
1981,27,2892848.806,15175.20122,NE,NEBRASKA
1981,28,0,0,NV,NEVADA
1981,29,112.7819492,1.721098327,NH,NEW HAMPSHIRE
1981,30,16329.30119,303.2766389,NJ,NEW JERSEY
1981,31,4339.430603,90.39438034,NM,NEW MEXICO
1981,32,138915.5574,1188.108334,NY,NEW YORK
1981,33,150524.8723,1959.177059,NC,NORTH CAROLINA
1981,34,958098.1434,4089.052265,ND,NORTH DAKOTA
1981,35,363995.4234,3646.26952,OH,OHIO
1981,36,123747.9661,543.8693435,OK,OKLAHOMA
1981,37,27820.91641,108.2182195,OR,OREGON
1981,38,368225.1571,2801.947555,PA,PENNSYLVANIA
1981,39,795.7558336,17.68469881,RI,RHODE ISLAND
1981,40,274185.6444,1497.208781,SC,SOUTH CAROLINA
1981,41,4892745.067,18066.98439,SD,SOUTH DAKOTA
1981,42,412183.937,2809.872974,TN,TENNESSEE
1981,43,99097.21375,593.8841087,TX,TEXAS
1981,44,731.7771885,63.26824984,UT,UTAH
1981,45,2592.240983,40.9584268,VT,VERMONT
1981,46,127732.2466,1673.197165,VA,VIRGINIA
1981,47,82425.91704,606.6131051,WA,WASHINGTON
1981,48,24044.42896,190.2829589,WV,WEST VIRGINIA
1981,49,1298105.636,10607.0034,WI,WISCONSIN
1981,50,16768.27064,256.4256906,WY,WYOMING
1982,0,46366.29171,476.3690986,AL,ALABAMA
1982,2,8402.625082,200.4450087,AZ,ARIZONA
1982,3,22503.10044,136.6717354,AR,ARKANSAS
1982,4,1380.750565,16.12221412,CA,CALIFORNIA
1982,5,14244.21248,308.6241327,CO,COLORADO
1982,6,2290.770693,64.0601991,CT,CONNECTICUT
1982,7,4075.285312,175.6287649,DE,DELAWARE
1982,8,0,0,DC,DISTRICT OF COLUMBIA
1982,9,919.4619512,18.59592639,FL,FLORIDA
1982,10,2450.795149,49.03328232,GA,GEORGIA
1982,12,43.24265447,2.943079288,ID,IDAHO
1982,13,4738175.325,23095.20283,IL,ILLINOIS
1982,14,1335829.453,16373.89324,IN,INDIANA
