Year,Units,scenario,region,sector,value
1975,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1976,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1977,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1978,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1979,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1980,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1981,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1982,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1983,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1984,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1985,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1986,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1987,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1988,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1989,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1990,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1991,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1992,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1993,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1994,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1995,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1996,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1997,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1998,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
1999,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2000,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2001,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2002,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2003,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2004,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2005,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2006,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2007,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2008,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2009,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2010,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2011,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2012,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2013,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2014,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2015,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0628
2016,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.06323948
2017,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.06367895999999999
2018,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.06411844
2019,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.06455791999999999
2020,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0649974
2021,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0660905
2022,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0671836
2023,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0682767
2024,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0693698
2025,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0704629
2026,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.07195316
2027,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.07344342
2028,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.07493368
2029,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.07642394
2030,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0779142
2031,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.07686202
2032,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.07580984
2033,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.07475766
2034,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.07370548
2035,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0726533
2036,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.07410122000000001
2037,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.07554914
2038,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.07699706
2039,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.07844498
2040,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0798929
2041,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.08049432000000001
2042,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.08109574
2043,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.08169716
2044,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.08229858
2045,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0829
2046,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.08281472
2047,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.08272944
2048,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.08264416
2049,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.08255888
2050,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0824736
2051,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.08467756
2052,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.08688152
2053,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.08908548
2054,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.09128944
2055,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0934934
2056,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.09277
2057,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0920466
2058,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0913232
2059,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0905998
2060,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0898764
2061,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.09102874
2062,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.09218108
2063,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.09333342
2064,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.09448576
2065,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.0956381
2066,1975$/kg,rcp45cooler_ssp3,USA,Corn,0.09890428
