ID,State,Commodity,Cause of Loss,Payment Indemnity,Payment Acreage,Year
41,New Mexico,Wheat,Drought,1240924.73,49411.155885,1989
21,Indiana,Wheat,Drought,5465.7,200.7585,1989
37,Oklahoma,Wheat,Drought,2910439.1,128376.097625,1989
46,Arkansas,Wheat,Drought,31610.8,817.365,1989
6,Wyoming,Wheat,Drought,476013.35,24828.77392,1989
11,Oregon,Wheat,Drought,1103478.25,58464.809485,1989
5,South Dakota,Wheat,Drought,11196870.35,601523.67596,1989
43,Mississippi,Wheat,Drought,218.0,182.8,1989
26,Illinois,Wheat,Drought,63327.4,1310.1982,1989
2,Montana,Wheat,Drought,12042123.29,745504.571395,1989
15,Nebraska,Wheat,Drought,7085691.16,245362.527386,1989
33,Kansas,Wheat,Drought,53174294.93,1279118.988271,1989
10,Minnesota,Wheat,Drought,3961028.59,175282.93507,1989
44,Georgia,Wheat,Drought,173225.3,4637.206,1989
24,California,Wheat,Drought,673890.0,19427.245,1989
7,Wisconsin,Wheat,Drought,8638.0,320.3,1989
42,Alabama,Wheat,Drought,2698.2,147.95,1989
13,Iowa,Wheat,Drought,24755.0,881.05,1989
25,Ohio,Wheat,Drought,9585.0,278.66,1989
49,Michigan,Wheat,Drought,35667.0,1256.3073,1989
40,Texas,Wheat,Drought,9173231.73,408770.512189,1989
31,Colorado,Wheat,Drought,3283528.95,125218.019735,1989
1,Washington,Wheat,Drought,5648580.35,323015.411955,1989
35,Missouri,Wheat,Drought,307854.4,10711.08436,1989
45,South Carolina,Wheat,Drought,408.0,12.5,1989
4,North Dakota,Wheat,Drought,55032094.96,2814246.958839,1989
23,Utah,Wheat,Drought,278779.95,12932.78,1989
48,Florida,Wheat,Drought,233.0,7.6,1989
47,Louisiana,Wheat,Drought,4475.0,61.9,1989
8,Idaho,Wheat,Drought,1475297.75,55953.520785,1989
3,Maine,Wheat,Drought,0.0,0.0,1989
9,Vermont,Wheat,Drought,0.0,0.0,1989
12,New Hampshire,Wheat,Drought,0.0,0.0,1989
14,Massachusetts,Wheat,Drought,0.0,0.0,1989
16,New York,Wheat,Drought,0.0,0.0,1989
17,Pennsylvania,Wheat,Drought,0.0,0.0,1989
18,Connecticut,Wheat,Drought,0.0,0.0,1989
19,Rhode Island,Wheat,Drought,0.0,0.0,1989
20,New Jersey,Wheat,Drought,0.0,0.0,1989
22,Nevada,Wheat,Drought,0.0,0.0,1989
28,Delaware,Wheat,Drought,0.0,0.0,1989
29,West Virginia,Wheat,Drought,0.0,0.0,1989
30,Maryland,Wheat,Drought,0.0,0.0,1989
32,Kentucky,Wheat,Drought,0.0,0.0,1989
34,Virginia,Wheat,Drought,0.0,0.0,1989
36,Arizona,Wheat,Drought,0.0,0.0,1989
38,North Carolina,Wheat,Drought,0.0,0.0,1989
39,Tennessee,Wheat,Drought,0.0,0.0,1989
41,New Mexico,Wheat,Drought,921860.69,51703.40383,1990
37,Oklahoma,Wheat,Drought,2331991.5,93091.90592,1990
46,Arkansas,Wheat,Drought,3756.0,328.2,1990
6,Wyoming,Wheat,Drought,145576.4,7931.5383,1990
11,Oregon,Wheat,Drought,2160055.6,108492.3217,1990
38,North Carolina,Wheat,Drought,11177.0,318.1,1990
5,South Dakota,Wheat,Drought,3313232.95,149213.07601,1990
26,Illinois,Wheat,Drought,34066.6,418.1,1990
2,Montana,Wheat,Drought,24423104.76,1025388.761729,1990
15,Nebraska,Wheat,Drought,920197.74,40545.61169,1990
33,Kansas,Wheat,Drought,1943680.55,80881.501171,1990
10,Minnesota,Wheat,Drought,1999590.3,64577.87028,1990
44,Georgia,Wheat,Drought,143763.35,4291.93,1990
24,California,Wheat,Drought,209403.6,7823.2886,1990
42,Alabama,Wheat,Drought,8436.0,210.8,1990
25,Ohio,Wheat,Drought,408.0,21.5,1990
49,Michigan,Wheat,Drought,6933.1,241.4,1990
40,Texas,Wheat,Drought,10230724.67,448162.503593,1990
31,Colorado,Wheat,Drought,690659.9,24368.26526,1990
1,Washington,Wheat,Drought,3262967.2,122046.99733,1990
35,Missouri,Wheat,Drought,9392.2,310.0727,1990
45,South Carolina,Wheat,Drought,27864.3,664.565,1990
4,North Dakota,Wheat,Drought,18467142.74,793534.32546,1990
23,Utah,Wheat,Drought,577707.65,21388.05428,1990
48,Florida,Wheat,Drought,7069.0,209.6,1990
47,Louisiana,Wheat,Drought,10728.69,164.97,1990
8,Idaho,Wheat,Drought,430197.94,21281.63161,1990
3,Maine,Wheat,Drought,0.0,0.0,1990
7,Wisconsin,Wheat,Drought,0.0,0.0,1990
9,Vermont,Wheat,Drought,0.0,0.0,1990
12,New Hampshire,Wheat,Drought,0.0,0.0,1990
13,Iowa,Wheat,Drought,0.0,0.0,1990
14,Massachusetts,Wheat,Drought,0.0,0.0,1990
16,New York,Wheat,Drought,0.0,0.0,1990
17,Pennsylvania,Wheat,Drought,0.0,0.0,1990
18,Connecticut,Wheat,Drought,0.0,0.0,1990
19,Rhode Island,Wheat,Drought,0.0,0.0,1990
20,New Jersey,Wheat,Drought,0.0,0.0,1990
21,Indiana,Wheat,Drought,0.0,0.0,1990
22,Nevada,Wheat,Drought,0.0,0.0,1990
28,Delaware,Wheat,Drought,0.0,0.0,1990
29,West Virginia,Wheat,Drought,0.0,0.0,1990
30,Maryland,Wheat,Drought,0.0,0.0,1990
32,Kentucky,Wheat,Drought,0.0,0.0,1990
34,Virginia,Wheat,Drought,0.0,0.0,1990
36,Arizona,Wheat,Drought,0.0,0.0,1990
39,Tennessee,Wheat,Drought,0.0,0.0,1990
43,Mississippi,Wheat,Drought,0.0,0.0,1990
41,New Mexico,Wheat,Drought,698217.81,48438.858905,1991
21,Indiana,Wheat,Drought,1176.4,45.42262,1991
37,Oklahoma,Wheat,Drought,12763805.19,456029.354179,1991
46,Arkansas,Wheat,Drought,32664.0,388.1,1991
6,Wyoming,Wheat,Drought,58379.65,2424.392,1991
11,Oregon,Wheat,Drought,2874300.8,108892.197655,1991
38,North Carolina,Wheat,Drought,10108.5,462.27,1991
5,South Dakota,Wheat,Drought,1469766.93,65106.49328,1991
43,Mississippi,Wheat,Drought,3205.0,73.35,1991
26,Illinois,Wheat,Drought,6570.4,232.81,1991
2,Montana,Wheat,Drought,508924.82,32109.65597,1991
15,Nebraska,Wheat,Drought,965997.62,36036.467765,1991
33,Kansas,Wheat,Drought,4649944.6,205675.430856,1991
10,Minnesota,Wheat,Drought,8773786.2,265849.68922,1991
16,New York,Wheat,Drought,1622.45,85.8,1991
44,Georgia,Wheat,Drought,400.0,10.0,1991
24,California,Wheat,Drought,251142.0,9129.59,1991
7,Wisconsin,Wheat,Drought,6606.0,271.7,1991
42,Alabama,Wheat,Drought,6590.8,125.64,1991
13,Iowa,Wheat,Drought,31.0,1.55,1991
25,Ohio,Wheat,Drought,7723.06,360.164,1991
49,Michigan,Wheat,Drought,9053.0,401.9512,1991
40,Texas,Wheat,Drought,10725506.67,468909.557695,1991
31,Colorado,Wheat,Drought,289400.18,18123.29651,1991
1,Washington,Wheat,Drought,4222290.02,175649.710281,1991
