state_id,nca_id
9,2
43,6
18,2
24,2
0,2
10,2
2,7
31,7
40,2
4,7
3,2
36,6
33,2
28,7
42,2
25,4
17,2
46,2
44,7
5,7
16,6
13,4
48,1
14,4
20,1
35,4
7,1
8,1
30,1
38,1
27,5
15,4
32,1
50,5
6,1
39,1
21,1
22,4
37,8
12,8
41,5
49,4
45,1
29,1
19,1
23,4
26,5
47,8
34,5
