Year,Units,scenario,region,sector,value
2063,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06672886
2064,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06681618
2065,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0669035
2066,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06870914
2067,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07051478
2068,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07232042000000001
2069,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07412606000000001
2070,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0759317
2071,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07420054000000001
2072,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07246938
2073,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07073822
2074,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06900706
2075,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0672759
2076,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06858586
2077,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06989582
2078,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07120578
2079,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07251574
2080,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0738257
2081,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07406096
2082,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07429622
2083,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07453148
2084,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07476674
2085,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.075002
2086,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07383877999999999
2087,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07267556
2088,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07151234
2089,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07034912
2090,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0691859
2091,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07016628
2092,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07114666
2093,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07212703999999999
2094,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07310741999999999
2095,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.0740878
2096,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07298504
2097,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07188227999999999
2098,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.07077952
2099,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.06967675999999999
2100,1975$/kg,rcp85cooler_ssp5,USA,Corn,0.068574
1975,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1976,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1977,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1978,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1979,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1980,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1981,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
1982,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1329
